sell_n,tokens_sold,seller_receives_sol,nav_sol,redeem_price_sol,price_frozen_sol,pool_sol
82,58520.49277,0.940000001,1.70900555e-05,1.606465217e-05,1.811530683e-05,422.1
83,58513.5607,0.940000001,1.709208472e-05,1.606655963e-05,1.811530683e-05,421.15
84,58506.61382,0.940000001,1.709411876e-05,1.606847164e-05,1.811530683e-05,420.2
85,58499.65207,0.940000001,1.709615766e-05,1.60703882e-05,1.811530683e-05,419.25
86,58492.67536,0.940000001,1.709820143e-05,1.607230935e-05,1.811530683e-05,418.3
87,58485.68365,0.940000001,1.71002501e-05,1.60742351e-05,1.811530683e-05,417.35
88,58478.67686,0.940000001,1.710230369e-05,1.607616547e-05,1.811530683e-05,416.4
89,58471.65492,0.940000001,1.710436223e-05,1.607810049e-05,1.811530683e-05,415.45
90,58464.61778,0.940000001,1.710642573e-05,1.608004019e-05,1.811530683e-05,414.5
91,58457.56535,0.940000001,1.710849422e-05,1.608198457e-05,1.811530683e-05,413.55
92,58450.49757,0.940000001,1.711056773e-05,1.608393366e-05,1.811530683e-05,412.6
93,58443.41438,0.940000001,1.711264627e-05,1.608588749e-05,1.811530683e-05,411.65
94,58436.31571,0.940000001,1.711472988e-05,1.608784608e-05,1.811530683e-05,410.7
95,58429.20147,0.940000001,1.711681857e-05,1.608980945e-05,1.811530683e-05,409.75
96,58422.07161,0.940000001,1.711891237e-05,1.609177762e-05,1.811530683e-05,408.8
97,58414.92605,0.940000001,1.71210113e-05,1.609375062e-05,1.811530683e-05,407.85
98,58407.76473,0.940000001,1.712311539e-05,1.609572847e-05,1.811530683e-05,406.9
99,58400.58757,0.940000001,1.712522467e-05,1.609771119e-05,1.811530683e-05,405.95
100,58393.39449,0.940000001,1.712733916e-05,1.609969881e-05,1.811530683e-05,405
101,58386.18543,0.940000001,1.712945888e-05,1.610169135e-05,1.811530683e-05,404.05
102,58378.96031,0.940000001,1.713158386e-05,1.610368883e-05,1.811530683e-05,403.1
103,58371.71906,0.940000001,1.713371412e-05,1.610569127e-05,1.811530683e-05,402.15
104,58364.4616,0.940000001,1.71358497e-05,1.610769871e-05,1.811530683e-05,401.2
105,58357.18787,0.940000001,1.713799061e-05,1.610971117e-05,1.811530683e-05,400.25
106,58349.89777,0.940000001,1.714013688e-05,1.611172867e-05,1.811530683e-05,399.3
107,58342.59125,0.940000001,1.714228854e-05,1.611375123e-05,1.811530683e-05,398.35
108,58335.26822,0.940000001,1.714444562e-05,1.611577888e-05,1.811530683e-05,397.4
109,58327.9286,0.940000001,1.714660814e-05,1.611781165e-05,1.811530683e-05,396.45
110,58320.57233,0.940000001,1.714877612e-05,1.611984956e-05,1.811530683e-05,395.5
111,58313.19931,0.940000001,1.715094961e-05,1.612189263e-05,1.811530683e-05,394.55
112,58305.80947,0.940000001,1.715312861e-05,1.612394089e-05,1.811530683e-05,393.6
113,58298.40274,0.940000001,1.715531317e-05,1.612599438e-05,1.811530683e-05,392.65
114,58290.97903,0.940000001,1.71575033e-05,1.61280531e-05,1.811530683e-05,391.7
115,58283.53826,0.940000001,1.715969904e-05,1.61301171e-05,1.811530683e-05,390.75
116,58276.08035,0.940000001,1.716190041e-05,1.613218639e-05,1.811530683e-05,389.8
117,58268.60523,0.940000001,1.716410745e-05,1.6134261e-05,1.811530683e-05,388.85
118,58261.1128,0.940000001,1.716632017e-05,1.613634096e-05,1.811530683e-05,387.9
